time;temperature
1095.14;34.69
1096.15;34.69
1097.15;34.69
1098.16;34.75
1099.17;34.75
1100.18;34.75
1101.19;34.75
1102.2;34.75
1103.21;34.69
1104.21;34.69
1105.22;34.69
1106.23;34.69
1107.24;34.75
1108.25;34.69
1109.26;34.75
1110.27;34.75
1111.27;34.69
1112.28;34.69
1113.29;34.63
1114.3;34.69
1115.31;34.63
1116.32;34.63
1117.33;34.63
1118.34;34.69
1119.34;34.63
1120.35;34.63
1121.36;34.69
1122.37;34.69
1123.38;34.75
1124.39;34.75
1125.39;34.75
1126.4;34.75
1127.41;34.75
1128.42;34.75
1129.43;34.75
1130.44;34.75
1131.45;34.69
1132.45;34.69
1133.47;34.69
1134.47;34.69
1135.48;34.69
1136.49;34.69
1137.5;34.69
1138.51;34.75
1139.52;34.81
1140.52;34.81
1141.53;34.81
1142.54;34.81
1143.55;34.75
1144.56;34.69
1145.57;34.75
1146.58;34.69
1147.58;34.69
1148.59;34.75
1149.6;34.69
1150.61;34.69
1151.62;34.69
1152.63;34.69
1153.63;34.69
1154.64;34.69
1155.65;34.69
1156.66;34.69
1157.67;34.69
1158.68;34.75
1159.69;34.75
1160.7;34.75
1161.7;34.75
1162.71;34.75
1163.72;34.69
1164.73;34.69
1165.74;34.75
1166.75;34.75
1167.76;34.81
1168.76;34.75
1169.77;34.75
1170.78;34.69
1171.79;34.69
1172.8;34.63
1173.81;34.63
1174.82;34.63
1175.82;34.69
1176.83;34.63
1177.84;34.63
1178.85;34.63
1179.86;34.69
1180.87;34.63
1181.88;34.69
1182.89;34.69
1183.89;34.75
1184.9;34.69
1185.91;34.63
1186.92;34.69
1187.92;34.63
1188.94;34.63
1189.95;34.63
1190.95;34.69
1191.96;34.75
1192.97;34.69
1193.98;34.69
1194.99;34.63
1196;34.69
1197;34.69
1198.01;34.75
1199.02;34.75
1200.03;34.81
1201.04;34.81
1202.05;34.88
1203.06;34.88
1204.07;34.81
1205.08;34.81
1206.08;34.75
1207.09;34.81
1208.1;34.81
1209.11;34.81
1210.12;34.75
1211.13;34.75
1212.13;34.75
1213.14;34.75
1214.15;34.69
1215.16;34.75
1216.17;34.81
1217.18;34.88
1218.19;34.81
1219.19;34.75
1220.21;34.81
1221.21;34.75
1222.22;34.69
1223.23;34.69
1224.24;34.63
1225.25;34.69
1226.26;34.63
1227.26;34.69
1228.27;34.69
1229.28;34.75
1230.29;34.75
1231.3;34.81
1232.31;34.81
1233.32;34.88
1234.32;34.88
1235.33;34.88
1236.34;34.88
1237.35;34.88
1238.36;34.94
1239.37;34.88
1240.38;34.88
1241.39;34.94
1242.39;34.94
1243.4;34.94
1244.41;35
1245.42;34.94
1246.43;34.94
1247.44;34.94
1248.45;34.94
1249.45;34.94
1250.46;35
1251.47;35
1252.48;35
1253.49;35
1254.5;34.94
1255.5;34.94
1256.51;35
1257.53;35.06
1258.53;35.06
1259.54;35.06
1260.55;35
1261.56;35
1262.57;35
1263.58;35
1264.58;34.94
1265.59;35.06
1266.6;35
1267.61;35
1268.62;35.06
1269.63;35.06
1270.63;35.06
1271.64;35
1272.65;35
1273.66;34.94
1274.67;34.94
1275.68;35
1276.68;35
1277.69;35
1278.71;35.06
1279.71;35.13
1280.72;35.13
1281.73;35.13
1282.74;35.06
1283.75;35.06
1284.76;35.06
1285.76;35
1286.77;35
1287.78;35
1288.79;35.06
1289.8;35.06
1290.81;35.06
1291.82;35.13
1292.82;35.06
1293.84;35.06
1294.84;35.13
1295.85;35.13
1296.86;35.19
1297.87;35.19
1298.88;35.19
1299.89;35.19
1300.89;35.31
1301.9;35.25
1302.91;35.25
1303.92;35.25
1304.93;35.25
1305.94;35.25
1306.95;35.25
1307.96;35.31
1308.97;35.25
1309.97;35.25
1310.98;35.25
1311.99;35.25
1313;35.19
1314.01;35.19
1315.02;35.19
1316.02;35.19
1317.04;35.19
1318.04;35.19
1319.05;35.19
1320.06;35.25
1321.07;35.25
1322.08;35.25
1323.09;35.25
1324.1;35.25
1325.1;35.25
1326.11;35.25
1327.12;35.25
1328.13;35.19
1329.14;35.13
1330.15;35.19
1331.15;35.19
1332.17;35.19
1333.17;35.13
1334.18;35.13
1335.19;35.06
1336.2;35.06
1337.21;35.06
1338.22;35.13
1339.22;35.13
1340.23;35.13
1341.24;35.13
1342.25;35.13
1343.26;35.13
1344.27;35.06
1345.28;35.06
1346.28;35.06
1347.3;35.13
1348.3;35.13
1349.31;35.13
1350.32;35.19
1351.33;35.19
1352.34;35.19
1353.35;35.19
1354.35;35.13
1355.36;35.13
1356.37;35.13
1357.38;35.13
1358.39;35.13
1359.4;35.13
1360.4;35.13
1361.41;35.13
1362.43;35.13
1363.43;35.13
1364.44;35.13
1365.45;35.13
1366.46;35.13
1367.47;35.19
1368.48;35.19
1369.49;35.19
1370.49;35.25
1371.5;35.25
1372.51;35.19
1373.52;35.19
1374.53;35.19
1375.54;35.19
1376.54;35.19
1377.56;35.25
1378.56;35.19
1379.57;35.19
1380.58;35.19
1381.59;35.19
1382.6;35.19
1383.61;35.19
1384.62;35.19
1385.62;35.13
1386.63;35.13
1387.64;35.13
1388.65;35.13
1389.66;35.13
1390.67;35.13
1391.68;35.06
1392.68;35.06
1393.69;35.13
1394.7;35.13
1395.71;35.13
1396.72;35.19
1397.73;35.19
1398.74;35.25
1399.74;35.25
1400.75;35.25
1401.76;35.25
1402.77;35.25
1403.78;35.25
1404.79;35.19
1405.8;35.19
1406.81;35.13
1407.82;35.13
1408.82;35.13
1409.83;35.13
1410.84;35.13
1411.85;35.06
1412.86;35.06
1413.87;35.13
1414.87;35.19
1415.88;35.25
1416.89;35.25
1417.9;35.25
1418.91;35.19
1419.92;35.19
1420.92;35.19
1421.93;35.25
1422.94;35.19
1423.95;35.19
1424.96;35.25
1425.97;35.25
1426.98;35.31
1427.99;35.25
1429;35.25
1430;35.25
1431.01;35.25
1432.02;35.31
1433.03;35.25
1434.04;35.25
1435.05;35.31
1436.06;35.31
1437.07;35.31
1438.07;35.31
1439.08;35.31
1440.09;35.31
1441.1;35.31
1442.11;35.31
1443.12;35.25
1444.13;35.25
1445.13;35.31
1446.14;35.25
1447.15;35.25
1448.16;35.31
1449.17;35.31
1450.18;35.31
1451.18;35.31
1452.2;35.31
1453.21;35.38
1454.21;35.44
1455.22;35.44
1456.23;35.44
1457.24;35.38
1458.25;35.31
1459.26;35.31
1460.26;35.31
1461.27;35.31
1462.28;35.19
1463.29;35.13
1464.3;35.13
1465.31;35.13
1466.31;35.19
1467.33;35.19
1468.34;35.19
1469.34;35.25
1470.35;35.31
1471.36;35.31
1472.37;35.25
1473.38;35.38
1474.39;35.38
1475.39;35.44
1476.4;35.44
1477.41;35.38
1478.42;35.44
1479.43;35.44
1480.44;35.5
1481.45;35.5
1482.46;35.56
1483.46;35.56
1484.47;35.63
1485.48;35.63
1486.49;35.63
1487.5;35.63
1488.51;35.56
1489.52;35.63
1490.53;35.63
1491.54;35.63
1492.54;35.56
1493.55;35.56
1494.56;35.56
1495.57;35.56
1496.58;35.63
1497.59;35.63
1498.59;35.69
1499.6;35.63
1500.61;35.63
1501.62;35.63
1502.63;35.69
1503.64;35.63
1504.65;35.5
1505.66;35.5
1506.66;35.5
1507.67;35.5
1508.68;35.5
1509.69;35.5
1510.7;35.44
1511.71;35.44
1512.72;35.44
1513.73;35.44
1514.74;35.44
1515.75;35.44
1516.75;35.44
1517.76;35.44
1518.77;35.44
1519.78;35.44
1520.79;35.38
1521.8;35.31
1522.8;35.31
1523.81;35.38
1524.82;35.38
1525.83;35.38
1526.84;35.44
1527.85;35.44
1528.86;35.44
1529.87;35.44
1530.87;35.38
1531.88;35.38
1532.89;35.44
1533.9;35.44
1534.91;35.38
1535.92;35.38
1536.93;35.44
1537.93;35.44
1538.94;35.31
1539.95;35.31
1540.96;35.25
1541.97;35.31
1542.98;35.31
1543.99;35.38
1544.99;35.44
1546.01;35.44
1547.01;35.44
1548.02;35.44
1549.03;35.38
1550.04;35.38
1551.05;35.44
1552.06;35.38
1553.07;35.38
1554.07;35.44
1555.08;35.44
1556.09;35.44
1557.1;35.44
1558.11;35.44
1559.12;35.5
1560.12;35.5
1561.13;35.5
1562.14;35.44
1563.15;35.44
1564.16;35.44
1565.17;35.44
1566.18;35.44
1567.19;35.44
1568.19;35.44
1569.21;35.44
1570.21;35.5
1571.22;35.56
1572.23;35.5
1573.24;35.5
1574.25;35.5
1575.26;35.56
1576.26;35.56
1577.27;35.56
1578.28;35.56
1579.29;35.56
1580.3;35.56
1581.31;35.5
1582.31;35.56
1583.33;35.56
1584.34;35.56
1585.34;35.5
1586.35;35.44
1587.36;35.38
1588.37;35.31
1589.38;35.38
1590.38;35.31
1591.39;35.25
1592.4;35.25
1593.41;35.25
1594.42;35.25
1595.43;35.31
1596.44;35.25
1597.45;35.31
1598.46;35.31
1599.46;35.31
1600.47;35.31
1601.48;35.31
1602.49;35.25
1603.5;35.31
1604.51;35.38
1605.51;35.31
1606.53;35.31
1607.53;35.31
1608.54;35.31
1609.55;35.31
1610.56;35.25
1611.57;35.31
1612.58;35.31
1613.58;35.38
1614.59;35.38
1615.6;35.44
1616.61;35.44
1617.62;35.44
1618.63;35.5
1619.63;35.44
1620.65;35.44
1621.65;35.44
1622.66;35.44
1623.67;35.44
1624.68;35.44
1625.69;35.44
1626.7;35.38
1627.71;35.38
1628.71;35.38
1629.72;35.38
1630.73;35.38
1631.74;35.31
1632.75;35.31
1633.76;35.31
1634.76;35.38
1635.78;35.31
1636.78;35.38
1637.79;35.38
1638.8;35.38
1639.81;35.38
1640.82;35.31
1641.83;35.38
1642.84;35.38
1643.84;35.38
1644.85;35.31
1645.86;35.31
1646.87;35.31
1647.88;35.38
1648.88;35.38
1649.9;35.38
1650.9;35.38
1651.91;35.38
1652.92;35.38
1653.93;35.38
1654.94;35.44
1655.95;35.38
1656.96;35.38
1657.96;35.44
1658.98;35.44
1659.98;35.5
1660.99;35.5
1662;35.5
1663.01;35.5
1664.02;35.5
1665.03;35.44
1666.03;35.38
1667.04;35.44
1668.05;35.44
1669.06;35.44
1670.07;35.5
1671.08;35.5
1672.08;35.56
1673.1;35.56
1674.1;35.56
1675.11;35.56
1676.12;35.56
1677.13;35.5
1678.14;35.44
1679.15;35.5
1680.15;35.44
1681.16;35.44
1682.17;35.38
1683.18;35.31
1684.19;35.31
1685.2;35.25
1686.21;35.25
1687.21;35.25
1688.23;35.31
1689.23;35.31
1690.24;35.31
1691.25;35.31
1692.26;35.31
1693.27;35.25
1694.28;35.31
1695.28;35.31
1696.29;35.25
1697.3;35.31
1698.31;35.31
1699.32;35.38
1700.33;35.44
1701.34;35.44
